Order ID,Branch Location,Branch Name,Business Name,Is Deleted,Item ID,Item Name,Item Price,Order Item Number,Item Status,Packed Quantity,Quantity,Total Price,Order Date,Order Region,Order Local Area,Recency,Frequency,Monetary_Sum,Avg_Quantity,Avg_Purchase_Value,Loyalty_Index,Value_Tier,Engagement_Score,Cluster
4672,Lagos,Generic Store,Generic Stores,False,60a7b0242498ec1dd380508c,Golden Penny Spaghetti - 500g,4950.0,MLPLOCN1FAHUIYK50S0W9YUQ,Cancelled,1,1,4950.0,2021-05-31,Lagos,Ifako-Ijaye,1,195,4449291.0,12.36923076923077,22816.876923076925,4449291.0,Medium,281.3255329733479,0
4672,Lagos,Multipro Consumer Product Limited,MUL,False,6076c792a6000742949a819c,DANO COOLCOW SACHET - 12X380g,3392.75,ML1DN3SZT8R02DKKNKBLXDXA,Cancelled,2,2,6785.5,2021-05-31,Lagos,Ifako-Ijaye,1,257,2429793.2,2.2568093385214008,9454.448249027238,2429793.2,Medium,370.7726255084636,0
4671,Lagos,Multipro Consumer Product Limited,MUL,False,6076c792a6000742949a819c,DANO COOLCOW SACHET - 12X380g,3392.75,ML2UMJU6I2P0O958PKZ9AMDQ,Cancelled,1,1,3392.75,2021-05-31,Lagos,Ifako-Ijaye,1,257,2429793.2,2.2568093385214008,9454.448249027238,2429793.2,Medium,370.7726255084636,0
4670,Lagos,TDILIFE  ,TDILIFE  ,False,608045d069c51b4e80e70343,HOLLANDIA EVAP MILK FULL CREAM 60g X 48,3370.0,MLDFDZKVPFV0SHDGGA2KFNRG,Delivered,1,1,3370.0,2021-05-31,Lagos,Ifako-Ijaye,1,97,16399936.879999999,60.144329896907216,169071.5142268041,16399936.879999999,Medium,139.94141896622946,0
4670,Lagos,TDILIFE  ,TDILIFE  ,False,608042a469c51b4e80e702f7,HOLLANDIA EVAP MILK FULL CREAM 190g X 24,4845.0,MLFLBFFM0O5UAS0MROFAL0QA,Cancelled,1,1,4845.0,2021-05-31,Lagos,Ifako-Ijaye,1,97,16399936.879999999,60.144329896907216,169071.5142268041,16399936.879999999,Medium,139.94141896622946,0
4670,Lagos,TDILIFE  ,TDILIFE  ,False,608043c969c51b4e80e70314,HOLLANDIA EVAP MILK FULL CREAM 120g X 24,2760.0,ML39SRTWZAW0QRQZCVEUBCGW,Delivered,1,1,2760.0,2021-05-31,Lagos,Ifako-Ijaye,1,97,16399936.879999999,60.144329896907216,169071.5142268041,16399936.879999999,Medium,139.94141896622946,0
4669,Lagos,Multipro Consumer Product Limited,MUL,False,6076c792a6000742949a819c,DANO COOLCOW SACHET - 12X380g,3392.75,ML2O0EB2MZNKSXAPFEKGG0JW,Cancelled,2,2,6785.5,2021-05-31,Lagos,Ifako-Ijaye,1,257,2429793.2,2.2568093385214008,9454.448249027238,2429793.2,Medium,370.7726255084636,0
4669,Lagos,Generic Store,Generic Stores,False,60a7b0242498ec1dd380508c,Golden Penny Spaghetti - 500g,4950.0,MLJG03AA1NG0Y1EZBKFH88SG,Cancelled,1,1,4950.0,2021-05-31,Lagos,Alimosho,1,195,4449291.0,12.36923076923077,22816.876923076925,4449291.0,Medium,281.3255329733479,0
4668,Lagos,TDILIFE  ,TDILIFE  ,False,60b0cef62498ec1dd3805329,CHIVITA HAPPY HOUR - 150MLX24,1076.25,ML03X81AHZV026P0L0BCTSLW,Cancelled,1,1,1076.25,2021-05-31,Lagos,Alimosho,1,97,16399936.879999999,60.144329896907216,169071.5142268041,16399936.879999999,Medium,139.94141896622946,0
4668,Lagos,TDILIFE  ,TDILIFE  ,False,60b4d9352498ec1dd38053b6,CHIVITA ACTIVE 1LX10,4253.75,MLL1NIQOQDTEMWTIE07D20JW,Cancelled,1,1,4253.75,2021-05-31,Lagos,Alimosho,1,97,16399936.879999999,60.144329896907216,169071.5142268041,16399936.879999999,Medium,139.94141896622946,0
4668,Lagos,TDILIFE  ,TDILIFE  ,False,60b4d9eb2498ec1dd38053b8,CHIVITA 1LX10,4920.0,MLNDJBI92KIEWESYIVKFAVEA,Cancelled,1,1,4920.0,2021-05-31,Lagos,Alimosho,1,97,16399936.879999999,60.144329896907216,169071.5142268041,16399936.879999999,Medium,139.94141896622946,0
4667,Lagos,TDILIFE  ,TDILIFE  ,False,60b4f2102498ec1dd38053e5,HOLLANDIA YOGHURT  1tr X 10,5535.0,MLWMACGQNNSUQ9JNZYCS0GYA,Cancelled,1,1,5535.0,2021-05-31,Lagos,Surulere,1,97,16399936.879999999,60.144329896907216,169071.5142268041,16399936.879999999,Medium,139.94141896622946,0
4667,Lagos,TDILIFE  ,TDILIFE  ,False,60b4e2952498ec1dd38053ca,HAPPY HOUR SAFARI180ml X 24,999.38,MLRQ4ZJSUJBU6WP21XFM3JWA,Cancelled,1,1,999.38,2021-05-31,Lagos,Surulere,1,97,16399936.879999999,60.144329896907216,169071.5142268041,16399936.879999999,Medium,139.94141896622946,0
4667,Lagos,TDILIFE  ,TDILIFE  ,False,60b4db5e2498ec1dd38053ba,CHI EXOTIC JUICE 1LX10,4253.75,MLEUYLMPA0EEUE8COVH17ABW,Cancelled,1,1,4253.75,2021-05-31,Lagos,Mushin,1,97,16399936.879999999,60.144329896907216,169071.5142268041,16399936.879999999,Medium,139.94141896622946,0
4666,Lagos,Tripple P Dazzled,Tripple P Dazzled,False,60ab84412498ec1dd38050f5,Milo Refill Pack - 450g,11200.0,MLSQJPOMUNJEESTAYVFT9DLG,Delivered,1786,1786,20003200.0,2021-05-31,Lagos,Oshodi-Isolo,1,523,375521029.0,76.18738049713193,718013.4397705545,375521029.0,High,754.5295063849279,1
4665,Lagos,Farmer First,Farmer First,False,6066180969c51b4e80e6f423,Cashew Nut,485000.0,MLCMJJ1V1WSUMHLHQAFDNMOW,Delivered,30,30,14550000.0,2021-05-31,Lagos,Oshodi-Isolo,1,24,135965400.0,315.9583333333333,5665225.0,135965400.0,High,34.624680981335125,0
4664,Lagos,Mercy & Honey Ventures,Mercy & Honey Ventures,False,604a4e0af77d7250766fed6b,PEAK FILLED EVAPORATED 24 X 160G,4800.0,MLIK986WQYSKAFA0M89SOVFQ,Cancelled,1,1,4800.0,2021-05-31,Lagos,Oshodi-Isolo,1,216,93533563.0,75.67129629629629,433025.7546296296,93533563.0,High,311.62212883201613,0
4664,Lagos,Renuzi Ventures,Renuzi Ventures,False,5fbbadadcc62feba7ebd424a,Axe Body Spray Black,950.0,MLOYF0DPGLR0G7LTOG5NME5A,Cancelled,1,1,950.0,2021-05-31,Lagos,Alimosho,1,817,330689228.0,49.23623011015912,404760.37698898406,330689228.0,High,1178.681848406283,1
4664,Lagos,Generic Store,Generic Stores,False,60a7b0242498ec1dd380508c,Golden Penny Spaghetti - 500g,4950.0,MLSM5LFJDGWUYKCUAJAFDI7W,Cancelled,1,1,4950.0,2021-05-31,Lagos,Oshodi-Isolo,1,195,4449291.0,12.36923076923077,22816.876923076925,4449291.0,Medium,281.3255329733479,0
4663,Lagos,Renuzi Ventures,Renuzi Ventures,False,5fc8be073262da995e0d1a0c,COWBELL 12G X 250,7534.0,MLFIHIQ4LA4EAYLGWQEY5J5G,Delivered,1,1,7534.0,2021-05-31,Lagos,Oshodi-Isolo,1,817,330689228.0,49.23623011015912,404760.37698898406,330689228.0,High,1178.681848406283,1
4663,Lagos,Multipro Consumer Product Limited,MUL,False,6076c792a6000742949a8148,INDOMIE ONION CHICKEN - 70gx40,2703.0,MLTKQZ43DJSUS0VKGJGURESA,Delivered,1,1,2703.0,2021-05-31,Lagos,Ojo,1,257,2429793.2,2.2568093385214008,9454.448249027238,2429793.2,Medium,370.7726255084636,0
4662,Lagos,Renuzi Ventures,Renuzi Ventures,False,6062d34069c51b4e80e6f2e4,Close Up Ever Fresh Red Hot 140g,14000.0,MLQYHQLAUXNE6VRTCTWXAAPG,Delivered,1,1,14000.0,2021-05-31,Lagos,Oshodi-Isolo,1,817,330689228.0,49.23623011015912,404760.37698898406,330689228.0,High,1178.681848406283,1
